iteration,x,y
1,43.3469,41.0715
1,62.3766,72.257
1,44.1463,39.2221
1,55.557,51.835
1,51.5346,45.8089
1,48.3245,41.9824
1,51.5346,45.8089
1,58.7375,61.1926
1,57.8269,57.1292
1,59.8494,66.9509
1,24.5504,31.1745
1,34.2968,34.0695
1,38.9996,36.2874
1,28.5383,32.224
1,65.8269,75.8097
1,79.7809,57.7778
1,78.0505,62.6232
1,60.3285,76.0736
1,40.0571,41.5094
1,52.5309,54.5528
1,48.3071,48.1717
1,48.3071,48.1717
1,44.7371,44.1565
1,55.2747,64.6807
1,54.4591,60.2995
1,56.9293,70.7441
1,18.6326,33.8895
1,29.2177,36.5781
1,34.468,38.4762
1,22.9442,34.8972
1,13.7733,28.6614
1,18.9835,29.869
1,12.6513,32.5038
2,36.0297,36.9984
2,62.3766,72.257
2,44.1463,39.2221
2,55.557,51.835
2,51.5346,45.8089
2,48.3245,41.9824
2,51.5346,45.8089
2,58.7375,61.1926
2,57.8269,57.1292
2,59.8494,66.9509
2,24.5504,31.1745
2,34.2968,34.0695
2,38.9996,36.2874
2,28.5383,32.224
2,65.8269,75.8097
2,79.7809,57.7778
2,78.0505,62.6232
2,60.3285,76.0736
2,40.0571,41.5094
2,52.5309,54.5528
2,48.3071,48.1717
2,48.3071,48.1717
2,44.7371,44.1565
2,55.2747,64.6807
2,54.4591,60.2995
2,56.9293,70.7441
2,18.6326,33.8895
2,29.2177,36.5781
2,34.468,38.4762
2,22.9442,34.8972
2,13.7733,28.6614
2,18.9835,29.869
2,12.6513,32.5038
2,3.98206,24.5912
2,8.5413,27.0887
2,7.15677,30.8415
3,28.3904,34.2593
3,62.3766,72.257
3,44.1463,39.2221
3,55.557,51.835
3,51.5346,45.8089
3,48.3245,41.9824
3,51.5346,45.8089
3,58.7375,61.1926
3,57.8269,57.1292
3,59.8494,66.9509
3,24.5504,31.1745
3,34.2968,34.0695
3,38.9996,36.2874
3,28.5383,32.224
3,65.8269,75.8097
3,79.7809,57.7778
3,78.0505,62.6232
3,60.3285,76.0736
3,40.0571,41.5094
3,52.5309,54.5528
3,48.3071,48.1717
3,48.3071,48.1717
3,44.7371,44.1565
3,55.2747,64.6807
3,54.4591,60.2995
3,56.9293,70.7441
3,18.6326,33.8895
3,29.2177,36.5781
3,34.468,38.4762
3,22.9442,34.8972
3,13.7733,28.6614
3,18.9835,29.869
3,12.6513,32.5038
3,3.98206,24.5912
3,8.5413,27.0887
3,7.15677,30.8415
3,1.73928,14.8011
3,1.45064,20.164
3,-1.56585,23.819
3,1.97762,28.1179
3,-2.68047,18.3878
4,20.85,32.3422
4,62.3766,72.257
4,44.1463,39.2221
4,55.557,51.835
4,51.5346,45.8089
4,48.3245,41.9824
4,51.5346,45.8089
4,58.7375,61.1926
4,57.8269,57.1292
4,59.8494,66.9509
4,24.5504,31.1745
4,34.2968,34.0695
4,38.9996,36.2874
4,28.5383,32.224
4,65.8269,75.8097
4,79.7809,57.7778
4,78.0505,62.6232
4,60.3285,76.0736
4,40.0571,41.5094
4,52.5309,54.5528
4,48.3071,48.1717
4,48.3071,48.1717
4,44.7371,44.1565
4,55.2747,64.6807
4,54.4591,60.2995
4,56.9293,70.7441
4,18.6326,33.8895
4,29.2177,36.5781
4,34.468,38.4762
4,22.9442,34.8972
4,13.7733,28.6614
4,18.9835,29.869
4,12.6513,32.5038
4,3.98206,24.5912
4,8.5413,27.0887
4,7.15677,30.8415
4,1.73928,14.8011
4,1.45064,20.164
4,-1.56585,23.819
4,1.97762,28.1179
4,-2.68047,18.3878
4,5.15771,5.13481
4,3.25218,9.79507
4,7.74815,0.161161
4,-1.86102,12.6669
4,-0.0997237,7.33344
5,13.8296,30.7354
5,62.3766,72.257
5,44.1463,39.2221
5,55.557,51.835
5,51.5346,45.8089
5,48.3245,41.9824
5,51.5346,45.8089
5,58.7375,61.1926
5,57.8269,57.1292
5,59.8494,66.9509
5,24.5504,31.1745
5,34.2968,34.0695
5,38.9996,36.2874
5,28.5383,32.224
5,65.8269,75.8097
5,79.7809,57.7778
5,78.0505,62.6232
5,60.3285,76.0736
5,40.0571,41.5094
5,52.5309,54.5528
5,48.3071,48.1717
5,48.3071,48.1717
5,44.7371,44.1565
5,55.2747,64.6807
5,54.4591,60.2995
5,56.9293,70.7441
5,18.6326,33.8895
5,29.2177,36.5781
5,34.468,38.4762
5,22.9442,34.8972
5,13.7733,28.6614
5,18.9835,29.869
5,12.6513,32.5038
5,3.98206,24.5912
5,8.5413,27.0887
5,7.15677,30.8415
5,1.73928,14.8011
5,1.45064,20.164
5,-1.56585,23.819
5,1.97762,28.1179
5,-2.68047,18.3878
5,5.15771,5.13481
5,3.25218,9.79507
5,7.74815,0.161161
5,-1.86102,12.6669
5,-0.0997237,7.33344
5,2.03918,2.36852
5,4.93121,-2.91279
6,7.75019,28.927
6,62.3766,72.257
6,44.1463,39.2221
6,55.557,51.835
6,51.5346,45.8089
6,48.3245,41.9824
6,51.5346,45.8089
6,58.7375,61.1926
6,57.8269,57.1292
6,59.8494,66.9509
6,24.5504,31.1745
6,34.2968,34.0695
6,38.9996,36.2874
6,28.5383,32.224
6,65.8269,75.8097
6,79.7809,57.7778
6,78.0505,62.6232
6,60.3285,76.0736
6,40.0571,41.5094
6,52.5309,54.5528
6,48.3071,48.1717
6,48.3071,48.1717
6,44.7371,44.1565
6,55.2747,64.6807
6,54.4591,60.2995
6,56.9293,70.7441
6,18.6326,33.8895
6,29.2177,36.5781
6,34.468,38.4762
6,22.9442,34.8972
6,13.7733,28.6614
6,18.9835,29.869
